ord;;;City;;;FAA;;;IATA;;;ICAO;;;Airport;;;Role;;;Enplanements;;;State;;;Lat;;;Lng
76;;;Durango;;;DRO;;;DRO;;;KDRO;;;Durango-La Plata County Airport;;;P-N;;;192797;;;COLORADO;;;37.151516;;;-107.75377
336;;;Charlottesville;;;CHO;;;CHO;;;KCHO;;;Charlottesville–Albemarle Airport;;;P-N;;;197776;;;VIRGINIA;;;38.138639;;;-78.452861
210;;;Kalispell;;;GPI;;;FCA;;;KGPI;;;Glacier Park International Airport;;;P-N;;;199701;;;MONTANA;;;48.310472;;;-114.256
301;;;Bristol / Johnson City /Kingsport;;;TRI;;;TRI;;;KTRI;;;Tri-Cities Regional Airport (Tri-Cities Regional TN/VA);;;P-N;;;202114;;;TENNESSEE;;;36.4752222;;;-82.4074167
58;;;Monterey;;;MRY;;;MRY;;;KMRY;;;Monterey Regional Airport (was Monterey Peninsula Airport);;;P-N;;;205838;;;CALIFORNIA;;;36.587;;;-121.842944
73;;;Aspen;;;ASE;;;ASE;;;KASE;;;Aspen-Pitkin County Airport (Sardy Field);;;P-N;;;208682;;;COLORADO;;;39.2232;;;-106.869
78;;;Grand Junction;;;GJT;;;GJT;;;KGJT;;;Grand Junction Regional Airport (Walker Field);;;P-N;;;211270;;;COLORADO;;;39.122413;;;-108.526735
90;;;Melbourne;;;MLB;;;MLB;;;KMLB;;;Melbourne International Airport;;;P-N;;;211702;;;FLORIDA;;;28.102753;;;-80.645258
125;;;Bloomington / Normal;;;BMI;;;BMI;;;KBMI;;;Central Illinois Regional Airport at Bloomington-Normal;;;P-N;;;211957;;;ILLINOIS;;;40.477111;;;-88.915917
286;;;Wilkes-Barre /Scranton;;;AVP;;;AVP;;;KAVP;;;Wilkes-Barre/Scranton International Airport;;;P-N;;;216536;;;PENNSYLVANIA;;;41.338478;;;-75.723403
181;;;Lansing;;;LAN;;;LAN;;;KLAN;;;Capital Region International Airport (was Lansing Capital City);;;P-N;;;216925;;;MICHIGAN;;;42.7787;;;-84.587357
260;;;Minot;;;MOT;;;MOT;;;KMOT;;;Minot International Airport;;;P-N;;;220787;;;NORTH DAKOTA;;;48.259378;;;-101.280333
154;;;Lafayette;;;LFT;;;LFT;;;KLFT;;;Lafayette Regional Airport;;;P-N;;;233498;;;LOUISIANA;;;30.205278;;;-91.987611
278;;;Redmond;;;RDM;;;RDM;;;KRDM;;;Redmond Municipal Airport (Roberts Field);;;P-N;;;236303;;;OREGON;;;44.254066;;;-121.149964
256;;;Bismarck;;;BIS;;;BIS;;;KBIS;;;Bismarck Municipal Airport;;;P-N;;;238929;;;NORTH DAKOTA;;;46.775842;;;-100.757931
317;;;Fort Hood / Killeen /Temple;;;GRK;;;GRK;;;KGRK;;;Killeen-Fort Hood Regional Airport / Robert Gray Army Airfield;;;P-N;;;243861;;;TEXAS;;;31.06725;;;-97.828917
249;;;Fayetteville;;;FAY;;;FAY;;;KFAY;;;Fayetteville Regional Airport (Grannis Field);;;P-N;;;244345;;;NORTH CAROLINA;;;34.9912;;;-78.8803
361;;;Appleton;;;ATW;;;ATW;;;KATW;;;Appleton International Airport;;;P-N;;;249656;;;WISCONSIN;;;44.257526;;;-88.507576
106;;;Augusta;;;AGS;;;AGS;;;KAGS;;;Augusta Regional Airport (Bush Field);;;P-N;;;261079;;;GEORGIA;;;33.369944;;;-81.9645
159;;;Bangor;;;BGR;;;BGR;;;KBGR;;;Bangor International Airport;;;P-N;;;265245;;;MAINE;;;44.807444;;;-68.828139
356;;;Charleston;;;CRW;;;CRW;;;KCRW;;;Yeager Airport;;;P-N;;;272901;;;WEST VIRGINIA;;;38.373147;;;-81.593189
373;;;Jackson;;;JAC;;;JAC;;;KJAC;;;Jackson Hole Airport;;;P-N;;;274343;;;WYOMING;;;43.607333333;;;-110.73775
